state,year,yearly_avg
1,1895,-0.8213541666666666
1,1896,-2.687708333333333
1,1897,-3.6352083333333334
1,1898,-4.080208333333333
1,1899,-2.8617708333333334
1,1900,-0.12083333333333332
1,1901,-0.44458333333333333
1,1902,-1.5110416666666668
1,1903,-0.9576041666666666
1,1904,-3.4513541666666665
1,1905,-2.526666666666667
1,1906,-1.0037500000000001
1,1907,-0.49864583333333334
1,1908,-1.1823958333333333
1,1909,-0.43270833333333336
1,1910,-2.006875
1,1911,-2.1380208333333335
1,1912,1.03375
1,1913,-0.6940625
1,1914,-3.0405208333333333
1,1915,-1.8222916666666666
1,1916,-1.1139583333333334
1,1917,-0.40812500000000007
1,1918,-1.0265625
1,1919,0.9289583333333333
1,1920,0.7421875
1,1921,-2.1488541666666667
1,1922,-1.8373958333333333
1,1923,-0.53625
1,1924,-1.1909375
1,1925,-3.4258333333333333
1,1926,-1.4646875000000001
1,1927,-2.5541666666666667
1,1928,-0.5962500000000001
1,1929,1.0244791666666666
1,1930,-2.2145833333333336
1,1931,-2.795208333333333
1,1932,0.09197916666666651
1,1933,-1.0794791666666668
1,1934,-1.364479166666667
1,1935,-1.0621875
1,1936,-0.62875
1,1937,0.2054166666666667
1,1938,-0.7836458333333334
1,1939,0.04104166666666665
1,1940,-0.4691666666666667
1,1941,-1.8011458333333334
1,1942,-0.5595833333333333
1,1943,-1.3844791666666667
1,1944,-0.8147916666666666
1,1945,-0.6013541666666666
1,1946,1.9058333333333333
1,1947,0.8166666666666668
1,1948,0.8848958333333334
1,1949,1.18625
1,1950,-0.4928125
1,1951,-1.1523958333333333
1,1952,-1.6010416666666665
1,1953,-0.649375
1,1954,-3.2946875
1,1955,-2.8255208333333335
1,1956,-1.6096875000000002
1,1957,-0.08697916666666662
1,1958,-0.020416666666666652
1,1959,-0.14427083333333335
1,1960,-0.2784375
1,1961,1.8082291666666668
1,1962,-0.41270833333333334
1,1963,-0.7947916666666668
1,1964,0.7366666666666667
1,1965,-0.17697916666666672
1,1966,-0.01906250000000006
1,1967,0.8119791666666667
1,1968,-1.0834375
1,1969,-0.33739583333333334
1,1970,0.11302083333333333
1,1971,0.9126041666666667
1,1972,0.2713541666666667
1,1973,2.1792708333333333
1,1974,1.7385416666666664
1,1975,3.54125
1,1976,2.4335416666666667
1,1977,0.23489583333333336
1,1978,-0.17187500000000006
1,1979,2.132604166666667
1,1980,0.48395833333333327
1,1981,-1.6951041666666666
1,1982,0.4160416666666667
1,1983,2.0270833333333336
1,1984,0.7877083333333335
1,1985,-0.25218749999999995
1,1986,-1.3541666666666665
1,1987,-0.7065625000000001
1,1988,-0.9245833333333332
1,1989,1.9562499999999998
1,1990,0.4939583333333332
1,1991,0.8480208333333334
1,1992,0.5965625
1,1993,-0.245
1,1994,0.8921874999999999
1,1995,0.2255208333333333
1,1996,1.5276041666666667
1,1997,1.9870833333333333
1,1998,0.24625
1,1999,-0.8814583333333333
1,2000,-2.362604166666667
1,2001,0.7197916666666667
1,2002,-0.09072916666666661
1,2003,2.1341666666666668
1,2004,1.0869791666666668
1,2005,1.090625
1,2006,-1.6039583333333334
1,2007,-3.091041666666667
1,2008,-1.1480208333333333
1,2009,1.7390625000000002
1,2010,-0.21479166666666658
1,2011,-1.5471875000000002
1,2012,-0.7838541666666666
1,2013,1.9030208333333334
1,2014,-91.51552083333334
2,1895,0.49952380952380954
2,1896,-1.1261904761904762
2,1897,-0.711547619047619
2,1898,-1.5667857142857144
2,1899,-2.791190476190476
2,1900,-4.691428571428572
2,1901,-3.8909523809523807
2,1902,-4.726428571428571
2,1903,-2.950476190476191
2,1904,-3.646309523809524
2,1905,5.606071428571428
2,1906,4.457261904761905
2,1907,3.1748809523809527
2,1908,0.2632142857142858
2,1909,0.5391666666666667
2,1910,-1.6133333333333333
2,1911,0.4330952380952381
2,1912,0.9504761904761906
2,1913,-0.7094047619047619
2,1914,0.27928571428571425
2,1915,3.6207142857142856
2,1916,4.238095238095238
2,1917,2.7792857142857144
2,1918,1.1417857142857144
2,1919,2.930238095238095
2,1920,2.761190476190476
2,1921,-0.027023809523809467
2,1922,0.9486904761904762
2,1923,0.4226190476190477
2,1924,0.17619047619047615
2,1925,-0.6072619047619048
2,1926,0.8950000000000001
2,1927,0.8101190476190476
2,1928,-2.0672619047619047
2,1929,-1.917142857142857
2,1930,0.8457142857142859
2,1931,2.1157142857142857
2,1932,2.008452380952381
2,1933,0.43773809523809526
2,1934,-2.822738095238095
2,1935,1.282857142857143
2,1936,-0.4439285714285714
2,1937,0.7263095238095237
2,1938,-0.6454761904761904
2,1939,0.02392857142857149
2,1940,0.4448809523809523
2,1941,6.0
2,1942,0.5386904761904762
2,1943,-1.4279761904761905
2,1944,0.26321428571428573
2,1945,0.0038095238095237705
2,1946,-0.5848809523809523
2,1947,-2.2034523809523807
2,1948,-2.1814285714285715
2,1949,-0.22011904761904771
2,1950,-2.3902380952380957
2,1951,-1.03
2,1952,1.1166666666666667
2,1953,-1.1717857142857144
2,1954,-1.4160714285714289
2,1955,-0.9075
2,1956,-3.268809523809524
2,1957,-0.7220238095238096
2,1958,0.6696428571428571
2,1959,-1.2110714285714288
2,1960,-0.4870238095238095
2,1961,-1.7808333333333333
2,1962,-0.9789285714285715
2,1963,-1.6075
2,1964,-1.2664285714285717
2,1965,1.4024999999999999
2,1966,1.250357142857143
2,1967,-0.483452380952381
2,1968,0.650595238095238
2,1969,0.1597619047619048
2,1970,-0.7926190476190476
2,1971,-1.6760714285714287
2,1972,-0.9283333333333333
2,1973,1.6817857142857142
